,pon,ut,str,Å¡tv,pia,total
08.00,0,1,8,2,1,12
08.15,3,2,3,8,0,16
08.30,1,1,10,11,4,27
08.45,20,10,22,10,12,74
09.00,7,11,10,4,3,35
09.15,6,5,2,6,4,23
09.30,5,2,5,8,1,21
09.45,7,3,8,6,3,27
10.00,0,4,2,6,2,14
10.15,3,5,2,2,0,12
10.30,2,1,3,4,1,11
10.45,3,7,3,3,2,18
11.00,2,2,3,2,0,9
11.15,4,0,0,3,1,8
11.30,2,3,2,2,0,9
11.45,1,1,1,1,2,6
12.00,1,2,0,2,0,5
12.15,0,0,1,2,1,4
12.30,1,0,3,1,0,5
12.45,1,4,3,1,1,10
13.00,3,0,8,1,0,12
13.15,1,4,4,1,0,10
13.30,0,4,2,2,1,9
13.45,3,2,6,2,4,17
14.00,0,0,3,0,0,3
14.15,0,2,4,0,0,6
14.30,1,3,0,5,1,10
14.45,4,5,1,1,2,13
15.00,4,3,0,0,2,9
15.15,1,0,0,1,0,2
15.30,2,4,6,2,0,14
15.45,0,2,0,1,1,4
16.00,0,0,1,2,0,3
16.15,2,2,2,0,0,6
16.30,2,1,0,0,1,4
16.45,3,6,3,0,1,13
17.00,0,0,2,0,0,2
17.15,0,1,1,0,0,2
17.30,1,1,0,1,0,3
17.45,0,0,0,1,0,1
18.00,0,0,0,1,0,1
